question_id	question	predicted	gold	hardness	exact_match	select_match_gold	select_match_pred	select_match	select_match (no_agg)_gold	select_match (no_agg)_pred	select_match (no_agg)	where_match_gold	where_match_pred	where_match	where_match (no op)_gold	where_match (no op)_pred	where_match (no op)	group (NO HAVING)_gold	group (NO HAVING)_pred	group (NO HAVING)	group_gold	group_pred	group	order_gold	order_pred	order	and_or_gold	and_or_pred	and_or	IUEN_gold	IUEN_pred	IUEN	keywords_gold	keywords_pred	keywords	
1	How many singers do we have?	SELECT Count(*) FROM singer	SELECT count(*) FROM singer	easy	OK	1	1	OK	1	1	OK	0	0	NA	0	0	NA	0	0	NA	0	0	NA	0	0	NA	1	1	OK	0	0	NA	0	0	NA	
2	What is the total number of singers?	SELECT Count(*) FROM singer	SELECT count(*) FROM singer	easy	OK	1	1	OK	1	1	OK	0	0	NA	0	0	NA	0	0	NA	0	0	NA	0	0	NA	1	1	OK	0	0	NA	0	0	NA	
3	Show name, country, age for all singers ordered by age from the oldest to the youngest.	SELECT singer.Name, singer.Country, singer.Age FROM singer ORDER BY singer.Age Desc	SELECT name ,  country ,  age FROM singer ORDER BY age DESC	medium	OK	3	3	OK	3	3	OK	0	0	NA	0	0	NA	0	0	NA	0	0	NA	1	1	OK	1	1	OK	0	0	NA	2	2	OK	
4	What are the names, countries, and ages for every singer in descending order of age?	SELECT singer.Name, singer.Country, singer.Age FROM singer ORDER BY singer.Age Desc	SELECT name ,  country ,  age FROM singer ORDER BY age DESC	medium	OK	3	3	OK	3	3	OK	0	0	NA	0	0	NA	0	0	NA	0	0	NA	1	1	OK	1	1	OK	0	0	NA	2	2	OK	
5	What is the average, minimum, and maximum age of all singers from France?	SELECT Avg(singer.Age), Min(singer.Age), Max(singer.Age) FROM singer WHERE singer.Country = 'terminal'	SELECT avg(age) ,  min(age) ,  max(age) FROM singer WHERE country  =  'France'	medium	OK	3	3	OK	3	3	OK	1	1	OK	1	1	OK	0	0	NA	0	0	NA	0	0	NA	1	1	OK	0	0	NA	1	1	OK	
6	What is the average, minimum, and maximum age for all French singers?	SELECT Avg(singer.Age), Min(singer.Age), Max(singer.Age) FROM singer WHERE singer.Country = 'terminal'	SELECT avg(age) ,  min(age) ,  max(age) FROM singer WHERE country  =  'France'	medium	OK	3	3	OK	3	3	OK	1	1	OK	1	1	OK	0	0	NA	0	0	NA	0	0	NA	1	1	OK	0	0	NA	1	1	OK	
7	Show the name and the release year of the song by the youngest singer.	SELECT singer.Song_Name, singer.Song_release_year FROM singer ORDER BY singer.Age Asc LIMIT 1	SELECT song_name ,  song_release_year FROM singer ORDER BY age LIMIT 1	medium	OK	2	2	OK	2	2	OK	0	0	NA	0	0	NA	0	0	NA	0	0	NA	1	1	OK	1	1	OK	0	0	NA	3	3	OK	
8	What are the names and release years for all the songs of the youngest singer?	SELECT singer.Song_Name, singer.Song_release_year FROM singer ORDER BY singer.Age Asc LIMIT 1	SELECT song_name ,  song_release_year FROM singer ORDER BY age LIMIT 1	medium	OK	2	2	OK	2	2	OK	0	0	NA	0	0	NA	0	0	NA	0	0	NA	1	1	OK	1	1	OK	0	0	NA	3	3	OK	
9	What are all distinct countries where singers above age 20 are from?	SELECT DISTINCT singer.Country FROM singer WHERE singer.Age > 'terminal'	SELECT DISTINCT country FROM singer WHERE age  >  20	easy	OK	1	1	OK	1	1	OK	1	1	OK	1	1	OK	0	0	NA	0	0	NA	0	0	NA	1	1	OK	0	0	NA	1	1	OK	
10	What are  the different countries with singers above age 20?	SELECT DISTINCT singer.Country FROM singer WHERE singer.Age > 'terminal'	SELECT DISTINCT country FROM singer WHERE age  >  20	easy	OK	1	1	OK	1	1	OK	1	1	OK	1	1	OK	0	0	NA	0	0	NA	0	0	NA	1	1	OK	0	0	NA	1	1	OK	
