question_id	question	predicted	gold	hardness	exact_match	select_match_gold	select_match_pred	select_match	select_match (no_agg)_gold	select_match (no_agg)_pred	select_match (no_agg)	where_match_gold	where_match_pred	where_match	where_match (no op)_gold	where_match (no op)_pred	where_match (no op)	group (NO HAVING)_gold	group (NO HAVING)_pred	group (NO HAVING)	group_gold	group_pred	group	order_gold	order_pred	order	and_or_gold	and_or_pred	and_or	IUEN_gold	IUEN_pred	IUEN	keywords_gold	keywords_pred	keywords	
2667	How many closed activities do we have?	select count(*) from log1 where  log1.activity = "Closed"	SELECT count(*) FROM log1 WHERE activity = 'Closed'	easy	OK	1	1	OK	1	1	OK	1	1	OK	1	1	OK	0	0	NA	0	0	NA	0	0	NA	1	1	OK	0	0	NA	1	1	OK	
2667-1	How many activities 'closed' do we have?	select count(*) from log1 where  log1.activity = "Closed"	SELECT count(*) FROM log1 WHERE activity = 'Closed'	easy	OK	1	1	OK	1	1	OK	1	1	OK	1	1	OK	0	0	NA	0	0	NA	0	0	NA	1	1	OK	0	0	NA	1	1	OK	
2667-2	How many activities 'closed' are there in the event log?	select count(*) from log1 where  log1.activity = "Closed"	SELECT count(*) FROM log1 WHERE activity = 'Closed'	easy	OK	1	1	OK	1	1	OK	1	1	OK	1	1	OK	0	0	NA	0	0	NA	0	0	NA	1	1	OK	0	0	NA	1	1	OK	
2667-3	How many occurrences of activity 'closed' are there in the event log?	select count(*) from log1 where  log1.activity = "Closed"	SELECT count(*) FROM log1 WHERE activity = 'Closed'	easy	OK	1	1	OK	1	1	OK	1	1	OK	1	1	OK	0	0	NA	0	0	NA	0	0	NA	1	1	OK	0	0	NA	1	1	OK	
2667-4	How many events related to activity 'closed' are there in the event log?	select count(*) from log1 where  log1.activity = "Closed"	SELECT count(*) FROM log1 WHERE activity = 'Closed'	easy	OK	1	1	OK	1	1	OK	1	1	OK	1	1	OK	0	0	NA	0	0	NA	0	0	NA	1	1	OK	0	0	NA	1	1	OK	
2667-5	How many times did activity 'closed' run?	select count(*) from log1 where  log1.activity = "Closed"	SELECT count(*) FROM log1 WHERE activity = 'Closed'	easy	OK	1	1	OK	1	1	OK	1	1	OK	1	1	OK	0	0	NA	0	0	NA	0	0	NA	1	1	OK	0	0	NA	1	1	OK	
2667-6	How many times did activity 'closed' occur?	select count(*) from log1 where  log1.activity = "Closed"	SELECT count(*) FROM log1 WHERE activity = 'Closed'	easy	OK	1	1	OK	1	1	OK	1	1	OK	1	1	OK	0	0	NA	0	0	NA	0	0	NA	1	1	OK	0	0	NA	1	1	OK	
2667-7	How many times does the activity named 'closed' run?	select count(*) from log1 where  log1.activity = "Closed"	SELECT count(*) FROM log1 WHERE activity = 'Closed'	easy	OK	1	1	OK	1	1	OK	1	1	OK	1	1	OK	0	0	NA	0	0	NA	0	0	NA	1	1	OK	0	0	NA	1	1	OK	
2667-8	Report the number of times activity 'closed' was executed.	select count(*) from log1 where  log1.activity = "Closed"	SELECT count(*) FROM log1 WHERE activity = 'Closed'	easy	OK	1	1	OK	1	1	OK	1	1	OK	1	1	OK	0	0	NA	0	0	NA	0	0	NA	1	1	OK	0	0	NA	1	1	OK	
2667-9	Report the number of occurrences of activity 'closed'.	select count(*) from log1 where  log1.activity = "Closed"	SELECT count(*) FROM log1 WHERE activity = 'Closed'	easy	OK	1	1	OK	1	1	OK	1	1	OK	1	1	OK	0	0	NA	0	0	NA	0	0	NA	1	1	OK	0	0	NA	1	1	OK	
2667-10	Report the number of occurrences of activity named 'closed'.	select count(*) from log1 where  log1.activity = "Closed"	SELECT count(*) FROM log1 WHERE activity = 'Closed'	easy	OK	1	1	OK	1	1	OK	1	1	OK	1	1	OK	0	0	NA	0	0	NA	0	0	NA	1	1	OK	0	0	NA	1	1	OK	
2670	Show the amount of events that have had Peter as resource.	select count(*) from log6 where  log6.resource = "Peter"	SELECT COUNT(*) FROM log6 WHERE resource = 'Peter'	easy	OK	1	1	OK	1	1	OK	1	1	OK	1	1	OK	0	0	NA	0	0	NA	0	0	NA	1	1	OK	0	0	NA	1	1	OK	
