idsql	idgroup	selectionpt	sql	selectionen
2667	5	Quantas atividades fechadas temos?	SELECT count(*) FROM log1 WHERE activity="Closed"	How many closed activities do we have?
2668	5	Temos quantas atividades que foram atualizadas pelo recurso 27 e que estão fechadas?	SELECT count(*) FROM log1 WHERE activity="Closed" HAVING resource="Updated by 27"	How many activities do we have that were updated by the resource 27 and that its closed?
2669	29	Mostre a quantidade de eventos que cada "resource" possui	SELECT COUNT(idevent), resource FROM Gerenciamento de problemas - abertos VOLVO GROUP BY resource;	Show the number of events each resource has
2670	29	Mostre a quantidade de eventos que tiveram Peter como "resource"	SELECT COUNT(idevent) FROM Gerenciamento de problemas - abertos VOLVO WHERE resource = "Peter"	Show the amount of events that have had Peter as "resource"
2671	1	Mostre todos os casos que terminaram em março de 2016	SELECT DISTINCT idcase FROM Gerenciamento de incidentes WHERE enddatetime LIKE '2016-03%'	Show all cases that ended in March 2016
2672	1	Mostre os casos que foram abertos, exceto aqueles que foram abertos pelo "resource" 804	SELECT DISTINCT idcase FROM Gerenciamento de incidentes WHERE activity = "New" EXCEPT SELECT idcase FROM Gerenciamento de incidentes WHERE resource = "Updated by 804"	Show cases that have been opened, except those that have been opened by "resource" 804
2673	21	Quantos recursos diferentes existe no log?	SELECT COUNT(DISTINCT resource) AS n_resources FROM volvo	How many different resources are there in the log?
2674	21	Qual é o total de eventos relacionado a cada recurso?	SELECT resource, COUNT(resource) AS n_events_by_resource FROM volvo GROUP BY resource	What is the total of events related to each feature?
2675	7	Quais são os idcase e idevent em que o custo são maiores que um determinado valor?	SELECT ALL idcase, idevent FROM justica WHERE costevent > value;	What are the idcase and idevent where the cost is greater than a certain value?
2676	7	Quais foram os recursos que tiveram mais eventos relacionados?	SELECT resource, COUNT(resource) as n_events FROM justica GROUP BY resource ORDER BY n_events DESC;	What were the resources that had the most events?
2677	26	Quais são os eventos em que o custo de evento não são nulos?	SELECT * FROM volvo WHERE costevent IS NOT NULL;	What are the events where the event cost is not null?
2678	26	Retornar apenas os eventos "In Progress" e "Closed"	SELECT idcase, idevent, startdatetime, activity, resource WHERE activity = "In Progress" UNION SELECT idcase, idevent, startdatetime, activity, resource WHERE activity = "Closed"	Return only "In Progress" and "Closed" events
2679	1	Quais são as atividades com maior frequência?	SELECT activity, COUNT(activity) AS n_activity FROM indicidentes GROUP BY activity ORDER BY n_activity	What are the most frequent activities?
2680	1	Quais são os eventos que aconteceram no ano de 2016?	SELECT * FROM incidentes WHERE endtime BETWEEN '2016-01-01' AND '2017-01-31';	What are the events that took place in the year 2016?
2681	13	Quais são os incidentes com a quantidade de cases entre 1 e 20 eventos de atualização?	SELECT idcase FROM process_mining.gerenciamento_de_incidentes GROUP BY idcase having count(idcase) between 1 and 20;	What are the incidents with the number of cases between 1 and 20 update events?)
2682	13	Qual a quantidade de eventos gerados por sub processo em cada case?	SELECT idcase, count(idcase), substr(activity, 1, 1) FROM process_mining.emprestimo GROUP BY idcase, substr(activity, 1, 1);	How many events are generated per sub-process in each case?
2683	8	Quais são os top 5 recursos com a maior quantidade de cases?(	SELECT resource FROM process_mining.judicial GROUP BY resource ORDER BY count(idevent) desc LIMIT 5;	What are the top 5 resources with the most cases?
2684	8	Quais são os top 5 recursos com a maior quantidade de cases?(	SELECT resource FROM process_mining.judicial GROUP BY resource ORDER BY count(idevent) desc LIMIT 5;	What are the top 5 resources with the most cases?
2685	29	Qual é o tempo médio em dias aguardado para um case mudar do status não assinado para assinado?	select sum(tb.wait_time)/count(idcase) from (SELECT v1.idcase, v1.startdatetime as start_Awaiting, v2.startdatetime as start_Assigment, TIMESTAMPDIFF( DAY, cast(v1.startdatetime as datetime) , cast(v2.startdatetime as datetime) ) as wait_time FROM process_mining.volvo as v1 INNER JOIN process_mining.volvo as v2 WHERE v1.idcase = v2.idcase and v1.idevent != v2.idevent and v2.activity = 'Assigned' and v1.activity = 'Awaiting Assignment') as tb	What is the average time in days for a case to change from unsigned to signed status?
2686	27	How many activities do we have in progress for each resource in the year of 2012?	SELECT resource, count(*) FROM log6 WHERE activity="In Progress" AND startdatetime LIKE '2012%' GROUP BY resource	Quantas atividades em progresso temos para cada recurso no ano de 2012?
2687	29	Quais são 5 cases com o maior tempo de espera em dia para mudar do status de não assinado para assinado e o tempo dispendido?	SELECT idcase ,tb.wait_time FROM (SELECT v1.idcase, v1.startdatetime as start_Awaiting, v2.startdatetime as start_Assigment, TIMESTAMPDIFF( DAY, cast(v1.startdatetime as datetime) , cast(v2.startdatetime as datetime) ) as wait_time FROM process_mining.volvo as v1 INNER JOIN process_mining.volvo as v2 WHERE v1.idcase = v2.idcase and v1.idevent != v2.idevent and v2.activity = 'Assigned' and v1.activity = 'Awaiting Assignment') as tb ORDER BY tb.wait_time ASC LIMIT 5	What are the 5 cases with the longest waiting time in the day to change from unsigned to signed status and the time spent?
2688	27	What activity does the resource have the most?	SELECT resource, count(*) FROM log6 WHERE activity="Awaiting Assignment" GROUP BY resource	Quantas atividades esperando atribuição existem para cada recurso?
2689	31	Quais são os cases que possuem mais de 50 atividades?	SELECT count(activity) FROM process_mining.prefeitura GROUP BY idcase HAVING count(activity) > 50;	Which cases have more than 50 activities?
2690	31	Qual é a maior quantidade de atividades em todo o log?	SELECT max(tb_activity.count_activity) FROM (SELECT count(activity) as count_activity, idcase FROM process_mining.prefeitura GROUP BY idcase) as tb_activity	What is the greatest amount of activity in the entire log?
2691	21	Quais são 5 cases com o maior espera em dias para mudar do status de não assinado para concluído e o tempo total dispendido?	SELECT idcase ,tb.waist_time FROM (SELECT v1.idcase, v1.startdatetime as start_Awaiting, v2.startdatetime as start_Assigment, TIMESTAMPDIFF( DAY, cast(v1.startdatetime as datetime) , cast(v2.startdatetime as datetime) ) as waist_time FROM process_mining.volvo_5 as v1 INNER JOIN process_mining.volvo_5 as v2 WHERE v1.idcase = v2.idcase and v1.idevent != v2.idevent and v2.activity = 'Closed' and v1.activity = 'Awaiting Assignment') as tb ORDER BY tb.waist_time ASC LIMIT 5	What are the 5 cases with the longest wait in days to change from unsigned to completed status and the total time spent?
2692	21	Quais são os cases ordenados na forma decrescente que possuem o tempo para mudar do status de não assinado para concluído entre 400 e 2000 dias?	SELECT tb_2.idcase FROM (SELECT idcase ,tb.waist_time FROM (SELECT v1.idcase, v1.startdatetime as start_Awaiting, v2.startdatetime as start_Assigment, TIMESTAMPDIFF( DAY, cast(v1.startdatetime as datetime) , cast(v2.startdatetime as datetime) ) as waist_time FROM process_mining.volvo_5 as v1 INNER JOIN process_mining.volvo_5 as v2 WHERE v1.idcase = v2.idcase and v1.idevent != v2.idevent and v2.activity = 'Closed' and v1.activity = 'Awaiting Assignment') as tb ORDER BY tb.waist_time DESC) as tb_2 WHERE tb_2.waist_time BETWEEN 400 and 2000 ORDER BY tb_2.waist_time DESC	What are the cases sorted in descending order that have the time to change from unsigned to completed status between 400 and 2000 days?
2693	3	Selecionar todos os casos do recurso solicitado que ainda não fechou.	SELECT T0.idcase FROM incidentes T0 WHERE T0.resource1 LIKE '%908%' AND NOT EXISTS(SELECT '1' FROM Incidentes T1 WHERE T1.idcase = T0.idcase AND T1.activity IN('Closed'));	Select all cases of the requested resource that have not yet closed.
2694	3	Recuperar informações de um determinado caso entre data inicial e data final.	SELECT * FROM incidentes WHERE idcase = 'INC0001287' AND CAST(enddatetime AS date) BETWEEN '2016-03-02' AND '2016-07-13' ORDER BY enddatetime;	Retrieve information for a given case between start date and end date.
2695	18	Recuperar quantos casos cada recurso teve no período entre x data a data y.	SELECT v0.resource1, count(v0.idcase) AS caso FROM volvo AS v0 WHERE CAST(v0.startdatetime AS date) BETWEEN date('2012-05-01') AND date('2012-05-31') GROUP BY v0.resource1 HAVING caso > 0	Retrieve how many cases each resource had in the period between x date and y date.
2696	39	Quais são os 10 cases em ordem decrescente com a maior quantidade de atividades?	SELECT re_1.idcase FROM reembolso as re_1 GROUP BY re_1.idcase ORDER BY count(re_1.idcase) DESC LIMIT 10	What are the 10 cases in descending order with the greatest amount of activities?
2697	39	Qual é o maior valor de custo do evento encontrado no log?	SELECT max(costevent) FROM reembolso	What is the largest event cost value found in the log?
2698	18	Recuperar quantos casos cada recurso teve no período entre x data a data y.	SELECT v0.resource1, count(v0.idcase) AS caso FROM volvo AS v0 WHERE CAST(v0.startdatetime AS date) BETWEEN date('2012-05-01') AND date('2012-05-31') GROUP BY v0.resource1 HAVING caso > 0	Retrieve how many cases each resource had in the period between x date and y date.
